title,thumbnail,url,color,year,width,height
AFP: The e-diplomacy hub,assets/images/thumbnails/afp.png,http://ediplomacy.afp.com,#323B90,2012,,
Rue89: Alerte Politique !,assets/images/thumbnails/image-alerte-politique_0.png,https://itunes.apple.com/fr/app/alertepolitique/id503609138,#333239,2012,,
Aucun Lien,assets/images/thumbnails/al-150x150.png,http://aucun-lien.com,#FF0095,2012,,
Journalism++: we build data-first newsrooms,assets/images/thumbnails/j-150x150.png,http://jplusplus.org,#9A0E3F,2012,,
RFI: les lois antiterroristes dans le monde,assets/images/thumbnails/1109.png,http://stm-own.france24.com/0911/,#910008,2011,,
Influence Networks: cartographie des réseaux d’influence,assets/images/thumbnails/in.png,https://web.archive.org/web/20120515070728/http://influencenetworks.org/,#5C2980,2011,,
Eurosport: Transferts 2011,assets/images/thumbnails/mercato.png,http://mercato2011.eurosport.com/,#892AB3,2011,,
UPIAN & 5ème étage Prod: Opposition Birmane,assets/images/thumbnails/birmane.png,https://web.archive.org/web/20130123101501/http://app.owni.fr/burmese-opposition/fr/,#991B63,2011,,
"France Inter: Serge Gainsbourg, aux Graph Et Cætera…",assets/images/thumbnails/gainsbourg.png,http://owni.fr/2011/03/01/app-gainsbourg-influences-20-ans-anniversaire-verneuil/,#D0C78A,2011,,
"OWNI: A Paris, la police aura des yeux tout partout",assets/images/thumbnails/camera.png,http://owni.fr/2011/01/05/a-paris-la-police-aura-des-yeux-tout-partout/,#494397,2011,,
Geoffrey Dorne: Graphisme & interactivité,assets/images/thumbnails/graphism.png,http://graphism.fr/,#3E3E3E,2011,,
Radio Nova: Nuit Sujet #2,assets/images/thumbnails/nuit-sujet-2.png,https://web.archive.org/web/20130318184958/http://nuitsujet.com/hack/,#DBDB7E,2011,,
Radio Nova: Nuit Sujet #1,assets/images/thumbnails/nuit-sujet-1.png,https://web.archive.org/web/20121020014003/http://app.owni.fr/nuit-sujet/2011-22-03/,#FF0032,2011,,
Iconomani: Vern1ssage,assets/images/thumbnails/vern1ssage.png,http://web.archive.org/web/20110319043117/http://vern1ssage.com/,#F8D3A8,2011,,
OWNI Live,assets/images/thumbnails/owni-live.png,http://www.ownilive.com/,#D83500,2011,,
OWNI Leaks,assets/images/thumbnails/owni-wl.png,http://wikileaks.owni.fr/,#6AC3D5,2011,,
FIDH: Despotic Mind,assets/images/thumbnails/despoticmind.png,http://app.owni.fr/despoticmind/,#F37E00,2010,,
Presseurop: Fonctionnement de la nouvelle Diplomatie Europeenne,assets/images/thumbnails/eeas.png,http://www.presseurop.eu/fr/eeas,#E90000,2010,,
"Galerie Interactive, Argos et l’eau",assets/images/thumbnails/galerie.png,http://app.owni.fr/owni-gallery/?id=8&p=52567,#93AFC9,2010,,
IFOP: l’emploi des jeunes,assets/images/thumbnails/ifop.png,http://owni.fr/2010/12/17/sondage-les-francais-les-jeunes-et-le-travail/,#7E1B41,2010,,
Wikileaks: Warlogs Irakiens,assets/images/thumbnails/warlogs2.png,http://web.archive.org/web/20130311020454/http://warlogs.owni.fr/,#970003,2010,,
La pilule de quel lendemain ?,assets/images/thumbnails/adolescente.png,http://app.owni.fr/adolescente/,#00BCBD,2010,,
Wikileaks: Warlogs Afghans,assets/images/thumbnails/warlogs1.png,http://web.archive.org/web/20120331035757/http://app.owni.fr/warlogs/,#D90000,2010,,
L’Oeil Du Pirate,assets/images/thumbnails/odp.png,http://oeildupirate.com,#010101,2010,,
Ubsek et Rica: What if?,assets/images/thumbnails/whatif.png,http://whatif.owni.fr,#F7FA00,2010,,
OWNI v2,assets/images/thumbnails/owni.jpg,http://owni.fr/,#2D2D2F,2010,,
RFI: Les objets symboles des indépendances africaines,assets/images/thumbnails/afrique.png,http://stm-own.france24.com/indeafrique/,#F1F631,2009,,
"Branche ton Sontone, le webzine qui t’aide à pécho en te donnant une super culture musicale",assets/images/thumbnails/bts.png,http://branchetonsonotone.com,#BC0E23,2009,,
